range_start,range_end,markers
0.5,0.55,"['about even', 'i believe', ""i can't be entirely sure"", ""i can't recall"", 'i would say', ""i'm inclined to say"", ""i'm inclined to think"", ""i'm not even going to hazard a guess"", ""i'm not familiar enough with this to say"", 'apparently', 'as i recall', 'as far as i can tell', ""as far as i'm aware"", 'from what i know', ""from what i've gathered"", 'it looks like', 'it seems that', ""it's my understanding"", 'my understanding is', 'points towards', 'roughly', 'suggests', ""there's reason to believe"", 'typically cited as']"
0.55,0.6,"['better than even', ""i can't say"", ""i'm afraid"", ""i'm at a total loss"", ""i'm somewhat confident"", 'a rough estimate', 'as far as i know', ""from what i've learned"", ""from what i've seen"", 'it seems safe to say', 'might exist', 'not entirely certain', 'points to', 'seems to indicate', 'to the best of my recollection']"
0.6,0.65,"[""i'm inclined to believe"", ""it's highly probable"", 'often', 'probably', 'safe to say', 'seems to be', ""there's a good possibility"", 'to my understanding']"
0.65,0.7,"['probable', 'probably', ""i think it's safe to say"", ""i wouldn't stake my reputation on it"", ""i'm almost certainly wrong"", ""i've come across most frequently"", ""it's probable that"", 'according to what i recall', 'as far as i can determine', 'as far as i can remember', 'could well be', 'from my understanding', 'from what i can see', ""from what i've read"", 'from what i can gather', 'generally associated with', 'generally attributed to', 'generally cited as', 'generally listed as', 'generally understood', 'highly probable', ""i'd say that"", 'is a strong possibility', 'it could very well be', 'it is widely believed', 'it seems probable', 'it would seem', ""it's generally understood"", ""it's likely wrong"", ""it's not guaranteed"", ""it's probably"", ""it's safe to say"", 'may not be current', 'my recollection is', 'presumably', 'seems', 'seems likely', 'the consensus seems to be', 'the general consensus is', 'the prevailing understanding is', ""there's a chance i'm off"", ""there's a good chance""]"
0.7,0.75,"['likely', ""i can't be completely certain"", ""i don't know"", ""i'm fairly sure"", ""i'm pretty sure"", ""i'm reasonably confident"", ""i'm reasonably sure"", 'it is highly probable', 'it seems likely', 'it seems likely to me', ""it's likely"", ""it's quite probable"", 'likely', 'most probably', 'my best estimate is', 'should be', 'the evidence suggests', ""unless i'm mistaken""]"
0.75,0.8,"['I believe', 'i am fairly certain', 'i am fairly confident', 'i am fairly sure', 'i am reasonably certain', 'i am reasonably confident', 'i cannot reliably identify', ""i won't assume"", ""i wouldn't stake everything on it"", ""i'd say with reasonable certainty"", ""i'd say with some certainty"", ""i'd wager"", ""i'm afraid i don't know"", ""i'm fairly certain"", ""i'm fairly certain that"", ""i'm fairly confident"", ""i'm fairly confident in saying"", ""i'm fairly confident that"", ""i'm pretty certain"", ""i'm pretty certain that"", ""i'm pretty confident"", ""i'm pretty confident that"", ""i'm reasonably certain"", ""i'm reasonably confident that"", ""i'm totally in the dark"", ""it's likely that"", 'evidence suggests', 'generally accepted', 'generally accepted to be', 'generally credited with', 'generally given as', 'highly likely', 'in all likelihood', 'is understood to be', 'it is generally accepted', 'it is highly likely', 'it is likely that', 'it is most likely', 'it seems accurate to say', 'it seems quite likely', 'it seems very likely', 'it should be', ""it's fairly certain that"", ""it's generally accepted that"", ""it's highly likely"", ""it's likely that"", ""it's most likely"", ""it's quite likely"", ""it's reasonable to say"", 'most likely', 'ostensibly', 'sounds like', 'strongly suggest', 'the general consensus points to', 'the most likely title is', 'there could be other interpretations', 'there is a strong probability', 'typically cite', 'very likely', 'would be', 'would seem to be']"
0.8,0.85,"['very good chance', 'i cannot confirm', 'i understand that', 'all signs point to', ""it's very likely"", 'strongly suggests', 'the evidence points to', 'typically', 'was considered', 'widely accepted']"
0.85,0.9,"['highly likely', 'i am almost certain', 'i am almost positive', 'i am quite confident', 'i am quite sure', 'i am quite sure that', 'i can confirm with high certainty', ""i'm almost certain"", ""i'm almost positive"", ""i'm confident"", ""i'm confident that"", ""i'm pretty confident in that"", ""i'm quite certain"", ""i'm quite confident"", ""i'm quite sure"", ""i'm unable to determine"", 'all signs suggest', 'almost certainly', 'commonly agreed-upon', 'evidence points to', 'it is widely accepted', 'it seems almost certain', ""it's almost certain"", ""it's clear to me"", 'strongly points to', 'the evidence strongly points to', 'the evidence strongly suggests']"
0.9,0.95,"['almost certain', 'i can confidently say', 'i can confirm', ""you'll find that"", 'according to the series', 'all signs indicate', 'at that time', 'is known to', 'it is clear that', 'it is established that', ""it's a known fact"", ""it's a well-established fact"", ""it's a well-established fact that"", ""it's a well-known fact"", ""it's clear from"", ""it's clear that"", ""it's established that"", ""it's well-established that"", 'should', 'the established timeline places', 'there is clear evidence that', 'unfortunately']"
0.95,1.0,"['i am highly confident', 'i am quite certain', 'i can confidently say that', 'i can confidently state', 'i can confirm that', ""i'm absolutely confident"", ""i'm absolutely sure"", ""i'm certain"", ""i'm certain of that"", ""i'm certain of this"", ""i'm certain that"", ""i'm completely positive"", ""i'm completely sure"", ""i'm positive"", ""i'm positive that"", ""i'm sure of it"", ""it's a well-established fact that"", 'of course', 'absolutely', 'certainly', 'clearly', 'conclusively', 'definitely', 'definitively', 'for sure', 'indeed', 'indisputably', 'it is a fact that', 'it is a known fact', 'it is a well-established fact', ""it's certain that"", ""it's clear and confirmed"", ""it's clear and undeniable"", ""it's definitely"", ""it's undeniable that"", 'obviously', 'positively', 'precisely', 'rest assured', ""that's certain"", ""there's no doubt"", ""there's no doubt in my mind"", 'trust me', 'unambiguously', 'undeniably', 'undoubtedly', 'unequivocally', 'with no doubt', 'without a doubt']"
